title,price,description,in_stock,image_link
Смартфон Apple iPhone 14 6/256GB Purple,103 690 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 256 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3768_1_1.jpg
Смартфон Apple iPhone 14 6/256GB Starlight,103 690 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 256 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3767_1_1.jpg
Смартфон Apple iPhone 14 6/256GB Midnight,103 690 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 256 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3766_0_1.jpg
Нет названия,Нет цены,Нет описания,Нет в наличии,Нет картинки
Смартфон Apple iPhone 14 6/128GB Blue,90 990 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3765_0_1.jpg
Смартфон Apple iPhone 14 6/128GB Starlight,90 990 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3762_1_1.jpg
Смартфон Apple iPhone 14 6/128GB Midnight,90 990 сом,"Операционная система: iOS 16  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3761_0_1.jpg
Смартфон ОРРО A53 64GB Electric Black,16 390 сом,"Операционная система: ColorOS 7.2 на базе Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 64 GB  / Основная камера: 13 Mpx + 2Mpx + 2Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2667_0_1.jpg
Смартфон Xiaomi Redmi Note 11 4/128GB Graphite Gray,19 990 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,4″ - 16,25 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 13 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3393_4_1.jpg
Смартфон HUAWEI P40 Lite Midnight Crush Green,20 990 сом,"Операционная система: EMUI 10.1 (на базе Android 10)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,4″ - 16,25 см  / Объем встроенной памяти: 128 GB  / Основная камера: 48 Мп + 8 Мп + 2 Мп + 2 Мп  / Фронтальная камера: 16 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2372_0_1.jpg
